,Ctrl_1,Ctrl_2,Ctrl_3,Ctrl_4,DOG_1,DOG_2,DOG_3,DOG_4,Dual_1,Dual_2,Dual_3,Dual_4,Olig_1,Olig_2,Olig_3,Olig_4
miR-1,4,3,0,16,0,0,5,5,7,4,2,25,1,1,1,45
miR-100-3p,12,4,2,13,4,4,6,6,21,3,2,17,9,2,4,34
miR-100-5p,3398,1502,2547,1518,1594,911,1116,2489,3511,2518,1302,1035,2415,1851,682,566
miR-101-3p,66,45,10,234,47,25,32,51,57,101,38,38,55,19,13,147
miR-101-5p,8,14,23,279,24,12,90,64,17,16,33,38,19,7,40,259
miR-103a-2-5p,79,87,84,139,69,43,58,77,72,78,147,47,77,28,35,124
miR-103a-3p,673,419,260,208,393,180,150,201,740,785,245,112,586,351,46,90
miR-105-3p,0,6,5,34,1,1,10,12,7,0,2,37,5,0,2,82
miR-105-5p,4,2,2,91,1,1,6,13,5,6,4,29,4,1,1,65
miR-106a-3p,15,3,14,245,7,10,10,31,12,4,4,37,5,8,5,154
miR-106a-5p,232,285,132,207,152,90,70,46,283,210,142,39,283,67,41,128
miR-106b-3p,34,33,36,80,15,18,100,61,26,32,68,40,32,22,59,166
miR-106b-5p,475,479,418,135,279,235,238,65,461,413,310,80,457,219,119,169
miR-107,691,433,230,192,345,161,148,183,728,725,238,100,574,305,69,93
miR-10a-3p,11,4,10,84,7,7,10,12,19,8,4,23,6,12,5,58
miR-10a-5p,71,82,70,129,49,27,44,99,80,101,77,67,60,29,30,84
miR-10b-3p,6,5,4,31,3,7,7,10,8,2,2,16,8,0,14,71
miR-10b-5p,160,50,59,68,76,24,28,93,154,75,41,62,116,30,15,84
miR-1178-3p,1,2,1,36,2,0,4,13,11,4,2,28,5,0,1,63
miR-1178-5p,21,8,10,139,147,7,3084,943,12,33,2181,53,183,5,2074,1622
miR-1179,4,1,2,26,0,0,7,7,5,1,0,21,7,0,1,49
miR-1180-3p,25,29,50,128,16,19,37,82,39,37,18,63,32,11,21,133
miR-1180-5p,193,107,49,420,483,118,1143,778,282,642,1045,75,1126,30,826,1343
miR-1182,5,5,8,104,2,9,11,23,15,6,8,24,10,5,299,208
miR-1183,13,14,13,124,11,12,18,18,10,11,5,37,19,4,118,169
miR-1184,7,4,7,83,5,2,17,29,11,11,7,37,9,2,5,72
miR-1185-1-3p,27,13,13,41,22,13,8,11,48,35,14,22,21,19,7,78
miR-1185-2-3p,28,18,11,58,19,13,13,13,45,32,16,22,17,23,9,88
miR-1185-5p,54,33,12,42,14,21,10,10,37,61,7,30,23,31,3,55
miR-1193,2,5,4,44,3,3,8,23,6,5,4,28,6,0,32,118
